continent,country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
NO,Aruba,NA,NA,NA,NA,NA,49.451,49.45,49.45,35,35,35,35,28,28,28,28,28,28,28,28,28,25,25,25,25,25,25,25
AS,Afghanistan,NA,NA,NA,NA,NA,NA,NA,NA,0,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
AF,Angola,40,40,40,40,40,40,35,35,35,35,35,35,35,35,35,35,35,35,35,35,30,30,30,30,30,30,25,25
NO,Anguilla,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EU,Aland Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,20,20,20,20,20
EU,Albania,30,30,30,30,30,30,30,25,25,25,23,20,20,10,10,10,10,10,10,15,15,15,15,15,15,15,15,15
EU,Andorra,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10
NO,Netherlands Antilles,39,39,39,39,NA,NA,35,35,NA,34.5,34.5,34.5,34.5,34.5,34.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AS,United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA,Argentina,30,30,33,33,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,30,30,30,35,35
AS,Armenia,NA,20,30,30,30,25,25,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,18,18,18
OC,American Samoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,44,44,34,34,34,34,34,34
AN,Antarctica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AN,French Southern Territories,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NO,Antigua and Barbuda,40,40,40,40,40,40,40,NA,NA,NA,NA,NA,30,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
OC,Australia,36,36,36,36,36,34,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
EU,Austria,34,34,34,34,34,34,34,34,34,34,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
AS,Azerbaijan,NA,25,32,32,32,32,27,27,NA,25,24,24,22,22,22,20,20,20,20,20,20,20,20,20,20,20,20,20
